time	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2	 Pao	 Fip	 Fop	 stateP	 Pcirc	 Fmax	 Fstop
4.410000000000056	 0.591609602764356	 16.245824600898278	 16.245824600898278	 0	 3.312291230044914	 0.02727923524128362	 0	 0.02727923524128362	 0.02727923524128362	 0	 0	 0	 21.482878678851165	 0.18	 0.5947080880173949	 1	 undefined	 undefined	 undefined
4.413000000000056	 0.5923087913852332	 16.281467034417652	 16.281467034417652	 0	 3.3140733517208827	 0.02906135691725242	 0	 0.02906135691725242	 0.02906135691725242	 0	 0	 0	 21.526257361797256	 0.18	 0.5940405586562663	 1	 undefined	 undefined	 undefined
4.416000000000056	 0.5925527818495169	 16.317069461133514	 16.317069461133514	 0	 3.3158534730566758	 0.03084147825304555	 0	 0.03084147825304555	 0.03084147825304555	 0	 0	 0	 21.565049163004325	 0.18	 0.5933737785977089	 1	 undefined	 undefined	 undefined
4.419000000000056	 0.5924935562105902	 16.352631925951027	 16.352631925951027	 0	 3.3176315962975513	 0.03261960149392093	 0	 0.03261960149392093	 0.03261960149392093	 0	 0	 0	 21.600771961517893	 0.18	 0.5927077469584598	 1	 undefined	 undefined	 undefined
4.4220000000000566	 0.592232435558647	 16.388154473725443	 16.388154473725443	 0	 3.3194077236862722	 0.034395728882641974	 0	 0.034395728882641974	 0.034395728882641974	 0	 0	 0	 21.634437689089552	 0.18	 0.5920424629070138	 1	 undefined	 undefined	 undefined
4.425000000000057	 0.18924318261615297	 16.423637149261598	 16.423637149261598	 0	 3.32118185746308	 0.03616986265944949	 0	 0.03616986265944949	 0.03616986265944949	 0	 0	 0	 18.042381232707797	 0.18	 0.5913779256025072	 1	 undefined	 undefined	 undefined
4.428000000000057	 -0.44629963403468703	 16.314146234933187	 16.314146234933187	 0	 3.3157073117466593	 0	 0.005474545716420532	 0.03069531694302896	 0.03616986265944949	 7.279181631536775e-13	 1.0209230899771073e-15	 5.589090129028986e-18	 12.33239558382856	 0	 0	 0	 undefined	 undefined	 undefined
4.431000000000057	 -0.8363650637535263	 16.21755091718123	 16.21755091718123	 0	 3.3108775458590616	 0	 0.010304311604018202	 0.025865551055431292	 0.03616986265944949	 3.641352986515854e-12	 5.107086937609893e-15	 3.0255124405292894e-17	 8.794058811664495	 0	 0	 0	 undefined	 undefined	 undefined
4.434000000000057	 -1.0965531127791852	 16.120166724150238	 16.120166724150238	 0	 3.306008336207512	 0	 0.01517352125556776	 0.020996341403881732	 0.03616986265944949	 1.8456658432418627e-11	 2.5885916455005088e-14	 1.562990786472092e-16	 6.401537848840066	 0	 0	 0	 undefined	 undefined	 undefined
4.437000000000057	 -1.2664025884152126	 16.023519411881573	 16.023519411881573	 0	 3.3011759705940786	 0	 0.020005886869001222	 0.01616397579044827	 0.03616986265944949	 9.240801652715724e-11	 1.2960451125828505e-13	 7.825954621975959e-16	 4.806668302836878	 0	 0	 0	 undefined	 undefined	 undefined
4.440000000000057	 -1.3764674824970826	 15.927434539387768	 15.927434539387768	 0	 3.2963717269693884	 0	 0.024810130493691362	 0.01135973216575813	 0.03616986265944949	 4.583477957916278e-10	 6.428440333683419e-13	 3.870974811177548e-15	 3.7398127151203413	 0	 0	 0	 undefined	 undefined	 undefined
4.443000000000057	 -1.446648094580803	 15.83192773940227	 15.83192773940227	 0	 3.2915963869701135	 0	 0.029585470492966157	 0.0065843921664833355	 0.03616986265944949	 2.251626842624214e-9	 3.1579619111139045e-12	 1.8951316641506052e-14	 3.0254075669671687	 0	 0	 0	 undefined	 undefined	 undefined
4.4460000000000575	 -1.4902635912583826	 15.736993421137973	 15.736993421137973	 0	 3.2868496710568986	 0	 0.034332186406180826	 0.0018376762532686663	 0.03616986265944949	 1.0956048011533688e-8	 1.5366126243385255e-11	 9.188995260544838e-14	 2.5459414842275274	 0	 0	 0	 undefined	 undefined	 undefined
4.449000000000058	 -1.5161874430826168	 15.64262838924864	 15.64262838924864	 0	 3.282131419462432	 0	 0.039050438000647406	 -0.0028805753411979135	 0.03616986265944949	 5.280691583738533e-8	 7.40629955643553e-11	 4.4133779951793925e-13	 2.2231258510228655	 0	 0	 0	 undefined	 undefined	 undefined
4.452000000000058	 -1.5303358379683503	 15.54882920353024	 15.54882920353024	 0	 3.277441460176512	 0	 0.04374039728656733	 -0.007570534627117841	 0.03616986265944949	 2.521343096185381e-7	 3.536245576697589e-10	 2.0998225774905517e-12	 2.004762282925605	 0	 0	 0	 undefined	 undefined	 undefined
4.455000000000058	 -1.5366527146079827	 15.45559247391986	 15.45559247391986	 0	 3.272779623695993	 0	 0.04840223376708631	 -0.012232371107636815	 0.03616986265944949	 0.000001192619451793639	 1.6726780530065063e-9	 9.897574145159738e-12	 1.8560523978636758	 0	 0	 0	 undefined	 undefined	 undefined
4.458000000000058	 -1.5377672609521578	 15.362914827383769	 15.362914827383769	 0	 3.2681457413691883	 0	 0.05303611609389082	 -0.016866253434441328	 0.03616986265944949	 0.000005588882883317932	 7.838545418398221e-9	 4.622047122732973e-11	 1.7537970878715332	 0	 0	 0	 undefined	 undefined	 undefined
4.461000000000058	 -1.5354321560345079	 15.270792911482998	 15.270792911482998	 0	 3.26353964557415	 0	 0.05764221188892935	 -0.02147234922947986	 0.03616986265944949	 0.00002594928642447706	 3.6394511114273575e-8	 2.1385707583326837e-10	 1.6825301764611913	 0	 0	 0	 undefined	 undefined	 undefined
4.464000000000058	 -1.5308157412993837	 15.17922339383986	 15.17922339383986	 0	 3.258961169691993	 0	 0.06222068777108607	 -0.026050825111636575	 0.03616986265944949	 0.00011937861501929558	 1.674314376147203e-7	 9.804378748670925e-10	 1.6319407663738636	 0	 0	 0	 undefined	 undefined	 undefined
4.467000000000058	 -1.524696800352276	 15.088202962063502	 15.088202962063502	 0	 3.254410148103175	 0	 0.06677170935990416	 -0.03060184670045467	 0.03616986265944949	 0.0005441882283768278	 7.632373469520727e-7	 4.453947518238223e-9	 1.595154814858954	 0	 0	 0	 undefined	 undefined	 undefined
4.470000000000058	 -1.517594412249152	 14.997728323624893	 14.997728323624893	 0	 3.2498864161812446	 0	 0.07129544128183443	 -0.03512557862238494	 0.03616986265944949	 0.0024581182516213522	 0.0000034475711803946033	 2.0049835320116106e-8	 1.5675895160586562	 0	 0	 0	 undefined	 undefined	 undefined
4.4730000000000585	 -1.5098545203379057	 14.907796205738348	 14.907796205738348	 0	 3.2453898102869174	 0	 0.07579204717616159	 -0.039622184516712095	 0.03616986265944949	 0.011001390986526714	 0.000015429720878719095	 8.943120917118718e-8	 1.5461895560534056	 0	 0	 0	 undefined	 undefined	 undefined
4.476000000000059	 -1.5017076448169475	 14.818403355243044	 14.818403355243044	 0	 3.240920167762152	 0	 0.08026168970092691	 -0.04409182704147742	 0.03616986265944949	 0.048755979171391566	 0.00006838145746338227	 3.9507187935495153e-7	 1.5289179495407412	 0	 0	 0	 undefined	 undefined	 undefined
4.479000000000059	 -1.4933073577701563	 14.72954653848535	 14.72954653848535	 0	 3.2364773269242675	 0	 0.08470453053881177	 -0.04853466787936228	 0.03616986265944949	 0.2133800949265049	 0.0002992708203737797	 0.0000017246845016988867	 1.514416597618838	 0	 0	 0	 undefined	 undefined	 undefined
4.482000000000059	 -1.4847559331862907	 14.64122254120186	 14.64122254120186	 0	 3.232061127060093	 0	 0.08912073040298635	 -0.052950867743536856	 0.03616986265944949	 0.911385342765579	 0.0012782403124341922	 0.000007369649195853234	 1.5017799929714166	 0	 0	 0	 undefined	 undefined	 undefined
4.485000000000059	 -1.1082859021966376	 14.553428168403126	 14.553428168403126	 0	 3.2276714084201563	 0	 0.09351044904292313	 -0.05734058638347364	 0.03616986265944949	 3.625151619215491	 0.005084364122321867	 0.00002968857715583533	 3.672102460280053	 0	 0	 0	 undefined	 undefined	 undefined
4.488000000000059	 -0.5135757931486314	 14.598581040375782	 14.598581040375782	 0	 3.229929052018789	 0.0022576435986327893	 0	 0.0022576435986327893	 0.0022576435986327893	 0	 0	 0	 8.435558307632913	 0.18	 0.7525478662109297	 1	 undefined	 undefined	 undefined
4.491000000000059	 -0.13762752530718306	 14.634529499396809	 14.634529499396809	 0	 3.2317264749698404	 0.004055066549684284	 0	 0.004055066549684284	 0.004055066549684284	 0	 0	 0	 12.523423903226181	 0.18	 0.5991409836838316	 1	 undefined	 undefined	 undefined
4.494000000000059	 0.11688457268270097	 14.672293321620868	 14.672293321620868	 0	 3.2336146660810434	 0.005943257660887071	 0	 0.005943257660887071	 0.005943257660887071	 0	 0	 0	 15.076226770114207	 0.18	 0.6293970370675959	 1	 undefined	 undefined	 undefined
4.497000000000059	 0.28549196204570293	 14.709638551636308	 14.709638551636308	 0	 3.2354819275818154	 0.007810519161659098	 0	 0.007810519161659098	 0.007810519161659098	 0	 0	 0	 16.825532798273073	 0.18	 0.6224205002573423	 1	 undefined	 undefined	 undefined
4.5000000000000595	 0.3978328071369834	 14.747018130513476	 14.747018130513476	 0	 3.237350906525674	 0.009679498105517312	 0	 0.009679498105517312	 0.009679498105517312	 0	 0	 0	 17.994584868188802	 0.18	 0.6229929812860713	 1	 undefined	 undefined	 undefined
4.50300000000006	 0.4724595487737308	 14.784340291314662	 14.784340291314662	 0	 3.239217014565733	 0.011545606145576363	 0	 0.011545606145576363	 0.011545606145576363	 0	 0	 0	 18.78582647438919	 0.18	 0.6220360133530174	 1	 undefined	 undefined	 undefined
4.50600000000006	 0.521985037906356	 14.821623694359145	 14.821623694359145	 0	 3.2410811847179573	 0.013409776297800666	 0	 0.013409776297800666	 0.013409776297800666	 0	 0	 0	 19.323350743346772	 0.18	 0.621390050741434	 1	 undefined	 undefined	 undefined
4.50900000000006	 0.5547682630257665	 14.858864613255253	 14.858864613255253	 0	 3.2429432306627626	 0.015271822242606002	 0	 0.015271822242606002	 0.015271822242606002	 0	 0	 0	 19.692089928681735	 0.18	 0.6206819816017788	 1	 undefined	 undefined	 undefined
4.51200000000006	 0.5763919337639616	 14.896063859950893	 14.896063859950893	 0	 3.2448031929975447	 0.017131784577388193	 0	 0.017131784577388193	 0.017131784577388193	 0	 0	 0	 19.948218837782612	 0.18	 0.6199874449273965	 1	 undefined	 undefined	 undefined
4.51500000000006	 0.5905758186488694	 14.933221326284096	 14.933221326284096	 0	 3.246661066314205	 0.018989657894048113	 0	 0.018989657894048113	 0.018989657894048113	 0	 0	 0	 20.12927791528196	 0.18	 0.6192911055533071	 1	 undefined	 undefined	 undefined
4.51800000000006	 0.5998001761511487	 14.970337090561143	 14.970337090561143	 0	 3.248516854528057	 0.020845446107900303	 0	 0.020845446107900303	 0.020845446107900303	 0	 0	 0	 20.260275778251568	 0.18	 0.6185960712840631	 1	 undefined	 undefined	 undefined
4.52100000000006	 0.6057184278835659	 15.007411193222788	 15.007411193222788	 0	 3.2503705596611394	 0.022699151240982356	 0	 0.022699151240982356	 0.022699151240982356	 0	 0	 0	 20.357888572932154	 0.18	 0.6179017110273515	 1	 undefined	 undefined	 undefined
4.52400000000006	 0.609432871606397	 15.044443682322957	 15.044443682322957	 0	 3.252222184116148	 0.024550775695990703	 0	 0.024550775695990703	 0.024550775695990703	 0	 0	 0	 20.43323298859093	 0.18	 0.6172081516694485	 1	 undefined	 undefined	 undefined
4.5270000000000605	 0.6116783687600473	 15.081434604309036	 15.081434604309036	 0	 3.254071730215452	 0.026400321795294713	 0	 0.026400321795294713	 0.026400321795294713	 0	 0	 0	 20.49372031732213	 0.18	 0.6165153664346701	 1	 undefined	 undefined	 undefined
4.530000000000061	 0.6129448273780687	 15.118384005891041	 15.118384005891041	 0	 3.255919200294552	 0.02824779187439479	 0	 0.02824779187439479	 0.02824779187439479	 0	 0	 0	 20.544291402450142	 0.18	 0.615823359700026	 1	 undefined	 undefined	 undefined
4.533000000000061	 0.6135588523839333	 15.155291933662731	 15.155291933662731	 0	 3.2577645966831366	 0.03009318826297938	 0	 0.03009318826297938	 0.03009318826297938	 0	 0	 0	 20.588240158734724	 0.18	 0.6151321295281963	 1	 undefined	 undefined	 undefined
4.536000000000061	 0.6137381801315103	 15.19215843417852	 15.19215843417852	 0	 3.259607921708926	 0.031936513288768766	 0	 0.031936513288768766	 0.031936513288768766	 0	 0	 0	 20.62776254098368	 0.18	 0.6144416752631288	 1	 undefined	 undefined	 undefined
4.539000000000061	 0.6136279678941037	 15.22898355393793	 15.22898355393793	 0	 3.2614491776968966	 0.03377776927673937	 0	 0.03377776927673937	 0.03377776927673937	 0	 0	 0	 20.664322532221853	 0.18	 0.6137519959901997	 1	 undefined	 undefined	 undefined
4.542000000000061	 0.6133249868986249	 15.265767339388834	 15.265767339388834	 0	 3.2632883669694417	 0.03561695854928451	 0	 0.03561695854928451	 0.03561695854928451	 0	 0	 0	 20.698896133960233	 0.18	 0.6130630908483812	 1	 undefined	 undefined	 undefined
4.545000000000061	 0.22756600596530058	 15.302509836926852	 15.302509836926852	 0	 3.2651254918463426	 0.03745408342618537	 0	 0.03745408342618537	 0.03745408342618537	 0	 0	 0	 17.263153282144202	 0.18	 0.612374958966954	 1	 undefined	 undefined	 undefined
4.548000000000061	 -0.3816731084460565	 15.200493104680675	 15.200493104680675	 0	 3.2600246552340337	 0	 0.00510083661230895	 0.03235324681387642	 0.03745408342618537	 6.426033175449772e-13	 9.012669250280185e-16	 4.597215328646022e-18	 11.792148666557743	 0	 0	 0	 undefined	 undefined	 undefined
4.551000000000061	 -0.7564984076047364	 15.1104916764546	 15.1104916764546	 0	 3.25552458382273	 0	 0.009600908023612624	 0.027853175402572747	 0.03745408342618537	 2.880016819240092e-12	 4.03929427663407e-15	 2.277432802476956e-17	 8.394816223461419	 0	 0	 0	 undefined	 undefined	 undefined
